mode,task_index,task_topic,message_count,text_chars,approx_tokens,protocol_bytes,object_ref_count,state_patch_count,memory_ref_count,non_text_state_bytes,shared_object_bytes,memory_hit,reused_memory_id,baseline_steps,actual_steps,saved_steps,total_latency_ms,root_cause_correct,scenario_family,capability_count,capability_discovery_count,embedding_state_count,embedding_state_bytes
text_mode,1,checkout database timeout on primary failover,4,262266,65567,264909,0,0,0,0,0,false,,5,5,0,91.729,true,database_timeout,0,0,0,0
structured_mode,1,checkout database timeout on primary failover,6,3779,945,9228,1,2,0,2330,8388608,false,,5,5,0,60.373,true,database_timeout,5,3,1,1288
text_mode,2,checkout timeout after config drift on blue deployment,4,262278,65570,264957,0,0,0,0,0,false,,5,5,0,91.623,true,database_timeout,0,0,0,0
structured_mode,2,checkout timeout after config drift on blue deployment,6,3941,986,9407,1,2,6,2305,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,3,2,49.164,true,database_timeout,5,3,1,1277
text_mode,3,payment timeout while talking to checkout database,4,262279,65570,264942,0,0,0,0,0,false,,5,5,0,91.764,true,database_timeout,0,0,0,0
structured_mode,3,payment timeout while talking to checkout database,6,4075,1019,9495,1,2,6,2339,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,3,2,43.570,true,database_timeout,5,3,1,1273
text_mode,4,canary rollout triggers repeated postgres timeout,4,262278,65570,264938,0,0,0,0,0,false,,5,5,0,91.770,true,database_timeout,0,0,0,0
structured_mode,4,canary rollout triggers repeated postgres timeout,6,4069,1018,9549,1,2,6,2369,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,3,2,45.492,true,database_timeout,5,3,1,1305
text_mode,5,credential refresh fails with permission denied,4,262279,65570,264929,0,0,0,0,0,false,,5,5,0,91.618,true,permission_denied,0,0,0,0
structured_mode,5,credential refresh fails with permission denied,6,4016,1004,9577,1,2,0,2455,8388608,false,,5,5,0,45.712,true,permission_denied,5,3,1,1359
text_mode,6,worker restart still cannot read secret volume,4,262281,65571,264925,0,0,0,0,0,false,,5,5,0,91.626,true,permission_denied,0,0,0,0
structured_mode,6,worker restart still cannot read secret volume,6,4178,1045,9763,1,2,6,2455,8388608,true,891f673a08b2449994e58aba8f8a84ba,5,4,1,47.030,true,permission_denied,5,3,1,1373
text_mode,7,batch node loses database credentials after hardening,4,262145,65537,264816,0,0,0,0,0,false,,5,5,0,91.832,true,permission_denied,0,0,0,0
structured_mode,7,batch node loses database credentials after hardening,6,4206,1052,9787,1,2,6,2451,8388608,true,891f673a08b2449994e58aba8f8a84ba,5,3,2,45.576,true,permission_denied,5,3,1,1365
text_mode,8,checkout jobs fail to load credential bundle,4,262270,65568,264907,0,0,0,0,0,false,,5,5,0,91.633,true,permission_denied,0,0,0,0
structured_mode,8,checkout jobs fail to load credential bundle,6,4208,1052,9778,1,2,6,2457,8388608,true,0486b97f186043b48bb7f2c8d1ff3edd,5,3,2,43.348,true,permission_denied,5,3,1,1353
text_mode,9,database writes fail because storage is full,4,262257,65565,264898,0,0,0,0,0,false,,5,5,0,91.610,true,storage_full,0,0,0,0
structured_mode,9,database writes fail because storage is full,6,3695,924,9220,1,2,0,2330,8388608,false,,5,5,0,48.747,true,storage_full,5,3,1,1310
text_mode,10,replica promotion stalls on no space left error,4,262263,65566,264916,0,0,0,0,0,false,,5,5,0,91.641,true,storage_full,0,0,0,0
structured_mode,10,replica promotion stalls on no space left error,6,3904,976,9447,1,2,6,2333,8388608,true,94c7fa66dbe34517a6a4a8dd1d5e0aef,5,4,1,47.917,true,storage_full,5,3,1,1311
text_mode,11,maintenance job aborts because postgres volume is full,4,262282,65571,264960,0,0,0,0,0,false,,5,5,0,91.624,true,storage_full,0,0,0,0
structured_mode,11,maintenance job aborts because postgres volume is full,6,4012,1003,9483,1,2,6,2328,8388608,true,94c7fa66dbe34517a6a4a8dd1d5e0aef,5,3,2,48.729,true,storage_full,5,3,1,1286
text_mode,12,checkout recovery loop hits disk-full condition again,4,262285,65572,264958,0,0,0,0,0,false,,5,5,0,91.632,true,storage_full,0,0,0,0
structured_mode,12,checkout recovery loop hits disk-full condition again,6,4106,1027,9581,1,2,6,2366,8388608,true,94c7fa66dbe34517a6a4a8dd1d5e0aef,5,3,2,46.448,true,storage_full,5,3,1,1298
text_mode,13,checkout database timeout on primary failover [cycle 2],4,262286,65572,264969,0,0,0,0,0,false,,5,5,0,91.616,true,database_timeout,0,0,0,0
structured_mode,13,checkout database timeout on primary failover [cycle 2],6,4016,1004,9488,1,2,6,2334,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,5,0,47.777,true,database_timeout,5,3,1,1290
text_mode,14,checkout timeout after config drift on blue deployment [cycle 2],4,262151,65538,264868,0,0,0,0,0,false,,5,5,0,91.630,true,database_timeout,0,0,0,0
structured_mode,14,checkout timeout after config drift on blue deployment [cycle 2],6,3986,997,9457,1,2,6,2308,8388608,true,bac84281b46f414ba7bb1e9df6287c42,5,3,2,45.155,true,database_timeout,5,3,1,1278
text_mode,15,payment timeout while talking to checkout database [cycle 2],4,262152,65538,264854,0,0,0,0,0,false,,5,5,0,91.623,true,database_timeout,0,0,0,0
